grupo_variables,antecedente,consecuente,support,confidence,lift
"('ai_dependency_score', 'motivation_score', 'stress_level')",ai_dependency_score=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.03345624606529364,0.9514066496163683,2.7707413664443163
"('daily_ai_tool_usage_hrs', 'motivation_score', 'stress_level')",daily_ai_tool_usage_hrs=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.03543484126270348,0.9227166276346604,2.6871886282529567
"('ai_replaces_own_thinking_score', 'seeks_career_counseling', 'stress_level')",ai_replaces_own_thinking_score=medio + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.03759330875078694,0.9126637554585152,2.6579120735838737
"('motivation_score', 'seeks_career_counseling', 'stress_level')",motivation_score=bajo + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.04766615702850976,0.9106529209621993,2.6520560052851474
"('daily_ai_tool_usage_hrs', 'seeks_career_counseling', 'stress_level')",daily_ai_tool_usage_hrs=alto + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.031657523158557424,0.9072164948453608,2.6420482467746376
"('ai_dependency_score', 'stress_level')",ai_dependency_score=alto + stress_level=alto,burnout_cat=alto,0.048025901609857,0.8711256117455138,2.536942293608792
"('motivation_score', 'stress_level')",motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.07770482957100458,0.8554455445544553,2.491277896778677
"('seeks_career_counseling', 'stress_level')",seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.07365770303084809,0.8365679264555669,2.43630140761117
"('ai_dependency_score', 'motivation_score', 'seeks_career_counseling')",ai_dependency_score=alto + motivation_score=bajo + seeks_career_counseling=si,burnout_cat=alto,0.05432143178343376,0.8308115543328748,2.4195373684199146
"('ai_replaces_own_thinking_score', 'stress_level')",ai_replaces_own_thinking_score=medio + stress_level=alto,burnout_cat=alto,0.0620559402823995,0.8243727598566309,2.400785939456752
"('daily_ai_tool_usage_hrs', 'motivation_score', 'seeks_career_counseling')",daily_ai_tool_usage_hrs=alto + motivation_score=bajo + seeks_career_counseling=si,burnout_cat=alto,0.052972389603381596,0.8046448087431693,2.343333061397407
"('daily_study_hours', 'stress_level')",daily_study_hours=bajo + stress_level=alto,burnout_cat=alto,0.04101088227358576,0.798598949211909,2.325725960263807
"('daily_ai_tool_usage_hrs', 'stress_level')",daily_ai_tool_usage_hrs=alto + stress_level=alto,burnout_cat=alto,0.055220793236801874,0.798439531859558,2.3252616958476753
"('motivation_score', 'placement_anxiety_score', 'uses_ai_for_assignments')",motivation_score=bajo + placement_anxiety_score=alto + uses_ai_for_assignments=frequently,burnout_cat=alto,0.031927331594567857,0.797752808988764,2.323261781861201
"('ai_dependency_score', 'motivation_score', 'placement_anxiety_score')",ai_dependency_score=alto + motivation_score=bajo + placement_anxiety_score=alto,burnout_cat=alto,0.06502383307851425,0.7945054945054945,2.3138047651667346
"('ai_dependency_score', 'interview_anxiety_score', 'motivation_score')",ai_dependency_score=alto + interview_anxiety_score=alto + motivation_score=bajo,burnout_cat=alto,0.06574332224120874,0.7860215053763441,2.2890972022733287
"('interview_anxiety_score', 'motivation_score', 'uses_ai_for_assignments')",interview_anxiety_score=alto + motivation_score=bajo + uses_ai_for_assignments=frequently,burnout_cat=alto,0.03201726773990467,0.7655913978494623,2.229599463773748
"('motivation_score', 'seeks_career_counseling', 'stream')",motivation_score=bajo + seeks_career_counseling=si + stream=cs/it,burnout_cat=alto,0.06700242827592409,0.764102564102564,2.225263596190783
"('daily_ai_tool_usage_hrs', 'motivation_score', 'placement_anxiety_score')",daily_ai_tool_usage_hrs=alto + motivation_score=bajo + placement_anxiety_score=alto,burnout_cat=alto,0.0653835776598615,0.7628541448058761,2.221627877448019
"('interview_anxiety_score', 'motivation_score', 'seeks_career_counseling')",interview_anxiety_score=alto + motivation_score=bajo + seeks_career_counseling=si,burnout_cat=alto,0.08984620919147406,0.7620137299771167,2.21918037286945
